,City,Country,Latitude,Longitude,Temperature(F),Humidity,WindSpeed (MPH),Cloudiness
432,Ampanihy,MG,-24.69,44.75,72.83,81,6.06,24
433,Olinda,BR,-22.82,-43.41,82.83,62,8.05,75
434,Broken Hill,AU,-31.97,141.45,50.6,89,6.62,0
435,Kayerkan,RU,69.35,87.76,-11.06,74,12.44,68
436,Lac du Bonnet,CA,50.25,-96.06,19.82,70,10.98,0
437,Spornoye,RU,50.84,37.29,32.0,99,4.47,0
438,Yermekeyevo,RU,54.07,53.67,33.32,93,15.46,0
439,Yartsevo,RU,55.07,32.69,30.44,89,9.19,68
440,Varhaug,NO,58.61,5.65,42.8,70,20.8,75
441,Newport,US,41.49,-71.31,38.75,93,9.17,90
442,Terney,RU,45.05,136.61,33.68,75,10.42,36
443,Peniche,PT,39.36,-9.38,56.43,82,13.87,40
444,Kawalu,ID,-7.38,108.21,64.1,98,1.36,36
445,Namwala,ZM,-15.75,26.45,73.28,68,10.31,12
446,Phan Thiet,VN,10.93,108.1,75.71,98,11.65,12
447,Bela,PK,26.23,66.31,61.22,93,1.59,0
448,Havoysund,NO,71.0,24.66,31.08,100,24.16,75
449,Tchollire,CM,8.4,14.17,86.06,33,5.06,88
450,Mecca,SA,21.43,39.83,86.0,55,2.59,0
451,Shunyi,CN,40.13,116.65,37.4,93,2.24,0
452,Ban Phai,TH,16.55,102.46,75.2,94,3.15,32
453,Jesup,US,31.61,-81.89,87.44,33,8.05,75
454,Srednekolymsk,RU,67.46,153.71,28.19,97,4.27,8
455,Teano,IT,41.25,14.07,57.97,55,2.24,0
456,Jieshi,CN,22.82,115.83,66.98,100,4.16,48
457,Hambantota,LK,6.12,81.12,79.04,100,5.5,0
458,Waddan,LY,29.16,16.14,63.56,24,7.63,12
459,Dubbo,AU,-32.25,148.6,64.4,82,10.29,8
460,Aripuana,BR,-9.17,-60.63,83.36,77,2.59,20
461,Senneterre,CA,48.39,-77.24,24.8,58,10.29,75
462,Alice Springs,AU,-23.7,133.88,59.0,54,5.82,0
463,Maasin,PH,10.89,122.43,71.48,98,7.63,8
464,Shizunai,JP,42.33,142.37,34.13,84,5.39,68
465,Port Shepstone,ZA,-30.74,30.45,74.0,99,5.61,88
466,Luganville,VU,-15.51,167.18,80.48,100,9.19,64
467,Saeby,DK,57.33,10.52,38.81,87,18.81,92
468,Iquitos,PE,-3.75,-73.25,77.0,88,4.7,90
469,Spirit River,CA,55.78,-118.84,17.6,67,13.87,75
470,Sirohi,IN,24.89,72.86,66.08,47,4.38,0
471,Hamilton,BM,32.3,-64.78,71.6,73,6.93,75
472,Castanos,MX,26.78,-101.42,85.43,20,10.76,88
473,Tezu,IN,27.93,96.16,62.12,51,1.92,0
474,Menzelinsk,RU,55.73,53.11,35.6,64,20.13,0
475,Kidal,ML,18.44,1.41,72.65,19,4.61,0
476,Port Maria,JM,18.37,-76.89,86.0,62,12.75,40
477,Ambon,ID,-3.7,128.18,79.85,100,8.19,44
478,Sterling,US,39.0,-77.4,50.95,81,6.93,75
479,Isla Aguada,MX,18.78,-91.49,93.2,38,8.05,20
480,Svetlogorsk,RU,53.14,59.15,26.6,92,11.18,90
481,Uribia,CO,11.71,-72.27,88.13,47,15.23,64
482,Kapit,MY,2.02,112.94,71.3,97,1.48,68
483,Killybegs,IE,54.63,-8.45,37.64,100,13.44,92
484,Savalou,BJ,7.93,1.98,82.19,64,7.74,8
485,Rabo de Peixe,PT,37.8,-25.58,59.0,67,11.41,20
486,Kamina,CD,-8.74,25.0,65.63,100,4.38,92
487,Emirdag,TR,39.02,31.15,33.14,90,2.59,0
488,Half Moon Bay,US,37.46,-122.43,67.24,55,14.99,1
489,Moscow,US,46.73,-117.0,48.45,81,5.82,20
490,Maralal,KE,1.1,36.7,55.82,94,2.48,24
491,Troutdale,US,45.53,-122.39,46.9,61,3.15,20
492,Nuevo Progreso,MX,17.14,-95.05,90.92,50,20.71,0
493,Lhokseumawe,ID,5.18,97.15,82.46,100,2.82,8
494,Pont-Audemer,FR,49.35,0.52,47.73,81,10.29,0
495,Chabahar,IR,25.29,60.65,78.23,95,9.53,0
496,Kajaani,FI,64.22,27.73,28.4,79,17.22,75
497,Ambanja,MG,-13.68,48.45,68.69,95,2.59,12
498,Poya,NC,-21.35,165.16,77.51,100,12.44,56
499,Quzhou,CN,28.97,118.86,62.75,100,1.36,92
500,Niihama,JP,33.96,133.28,53.3,95,3.71,0
501,Sinnamary,GF,5.38,-52.96,80.93,93,8.41,92
502,Zihuatanejo,MX,17.64,-101.55,84.2,70,11.41,5
503,Voyvozh,RU,62.89,54.96,36.38,88,16.02,36
504,Mongo,TD,12.18,18.69,73.19,51,3.6,8
505,Camapua,BR,-19.53,-54.04,75.53,85,4.72,20
506,Awjilah,LY,29.14,21.3,60.77,51,8.97,32
507,Durres,AL,41.32,19.44,50.0,71,3.36,0
508,Buckingham,CA,45.58,-75.42,41.0,48,11.41,90
509,Vanavara,RU,60.35,102.28,10.82,83,2.82,56
510,Fereydun Kenar,IR,36.69,52.52,55.4,87,7.18,90
511,Harlingen,NL,53.18,5.41,48.92,100,5.82,90
512,Nadym,RU,65.53,72.51,6.77,72,11.1,68
513,Saint-Andre-Avellin,CA,45.72,-75.07,41.0,48,11.41,90
514,Dublin,US,40.1,-83.11,56.71,93,10.29,40
515,Baoning,CN,25.34,110.03,71.6,83,2.37,75
516,Teknaf,BD,20.86,92.31,70.4,98,2.59,0
517,Elizabethtown,US,40.15,-76.6,43.83,93,4.7,90
518,Straumen,NO,63.87,11.3,34.52,51,13.87,0
519,Marfino,RU,56.07,37.56,32.54,74,6.71,0
520,Aleksandrov Gay,RU,50.14,48.57,37.55,93,11.77,92
521,Guapi,CO,2.57,-77.89,79.49,93,2.82,64
522,Oussouye,SN,12.49,-16.54,75.2,73,6.93,0
523,Fuente Palmera,ES,37.7,-5.1,59.0,72,12.75,32
524,Nishihara,JP,35.74,139.53,57.04,93,3.36,0
525,Taoudenni,ML,22.68,-3.98,77.42,16,9.53,0
526,Marienburg,SR,5.88,-55.04,86.0,62,9.17,20
527,Porto Walter,BR,-8.27,-72.74,77.87,97,2.93,32
528,Arroyo,US,41.39,-78.88,45.18,93,9.17,90
529,Nakhon Phanom,TH,17.41,104.78,69.95,83,2.15,12
530,Wukari,NG,7.87,9.78,86.78,57,13.44,20
531,Dartford,GB,51.45,0.21,49.55,76,10.29,40
532,Ranong,TH,9.96,98.62,82.1,100,8.41,0
533,Jackson,US,35.61,-88.82,76.71,47,14.99,90
534,Waipawa,NZ,-39.94,176.59,65.9,54,17.25,0
535,Miri,MY,4.41,114.01,77.0,100,4.7,75
536,High Prairie,CA,55.43,-116.48,21.35,58,4.61,56
537,Riyadh,SA,24.63,46.72,77.0,33,5.82,75
538,Pandan,PH,11.72,122.09,79.13,100,11.65,68
539,Muros,ES,42.77,-9.06,44.6,93,10.29,40
540,Vila Franca do Campo,PT,37.72,-25.43,59.0,67,11.41,20
541,Ruston,US,32.52,-92.64,83.07,51,13.87,75
542,Warrington,US,40.25,-75.13,42.19,99,3.36,90
543,Queanbeyan,AU,-35.35,149.23,59.0,82,5.82,75
544,Rodeo,MX,25.18,-104.56,76.43,18,5.61,92
545,Palasbari,IN,26.14,91.55,66.08,82,2.48,0
546,Lokosovo,RU,61.13,74.84,10.37,69,8.75,48
547,Kavaratti,IN,10.57,72.64,83.54,100,7.96,8
548,Jalu,LY,29.03,21.55,61.85,46,9.98,44
549,Ponta Delgada,PT,37.73,-25.67,59.0,67,11.41,20
550,Arlington,US,32.74,-97.11,71.73,64,16.11,20
551,Ostrovnoy,RU,68.05,39.51,31.34,97,7.18,92
552,Pacific Grove,US,36.62,-121.92,66.61,38,6.93,1
553,Dunedin,NZ,-45.87,170.5,62.03,49,17.92,12
554,Mocuba,MZ,-16.84,36.99,73.55,90,2.59,12
555,Caetite,BR,-14.07,-42.48,80.66,50,2.71,44
556,Nshamba,TZ,-1.8,31.55,68.33,100,4.38,92
557,Nanortalik,GL,60.14,-45.24,32.87,100,21.72,32
558,Port Macquarie,AU,-31.43,152.91,64.4,100,4.7,64
559,Melilla,ES,35.29,-2.94,60.48,77,11.41,0
560,Maneromango,TZ,-7.2,38.78,73.28,95,3.15,76
561,Hohr-Grenzhausen,DE,50.43,7.67,53.67,62,12.75,0
562,Tessalit,ML,20.2,1.01,70.31,19,2.93,0
563,Ugoofaaru,MV,5.67,73.0,84.53,100,5.73,20
564,Mahalapye,BW,-23.11,26.83,65.9,77,7.18,0
565,Lander,US,42.83,-108.73,37.4,23,5.82,1
566,San Patricio,MX,19.22,-104.7,77.0,69,11.41,5
567,Soller,ES,39.77,2.72,59.0,87,6.93,75
568,Nileshwar,IN,12.25,75.1,83.27,100,5.95,12
569,Chumikan,RU,54.72,135.31,22.16,59,14.12,76
570,Grand Forks,CA,49.03,-118.46,42.8,48,11.41,90
571,Taiyuan,CN,37.86,112.56,37.4,44,15.66,0
572,Boende,CD,-0.28,20.88,73.46,91,3.83,64
573,Pula,HR,44.87,13.85,51.71,93,5.82,75
574,Teguise,ES,29.06,-13.56,64.4,72,12.75,20
575,Ambilobe,MG,-13.19,49.05,75.71,75,6.62,8
576,Kenora,CA,49.76,-94.48,16.75,31,9.17,40
577,Jawar,IN,23.0,76.5,73.37,32,8.41,0
578,Surt,LY,31.21,16.59,59.87,96,14.12,0
579,Carutapera,BR,-1.2,-46.02,80.84,87,4.72,56
580,Suntar,RU,62.16,117.65,6.95,70,2.59,68
581,Rey Bouba,CM,8.67,14.18,86.06,33,5.06,88
582,Chipurupalle,IN,18.32,83.57,64.37,96,2.37,0
583,Actopan,MX,20.27,-98.94,82.28,26,3.38,44
584,Korla,CN,41.76,86.15,32.24,47,5.39,0
585,Setermoen,NO,68.86,18.35,15.8,72,2.24,40
586,Koslan,RU,63.46,48.9,37.55,98,10.42,92
587,Mount Isa,AU,-20.73,139.49,69.8,64,6.93,0
588,Ilhabela,BR,-23.78,-45.36,76.79,100,5.28,56
589,Xinqing,CN,48.28,129.53,17.93,41,6.06,8
590,Port Hawkesbury,CA,45.62,-61.36,39.2,32,9.17,1
591,Miles City,US,46.41,-105.84,19.4,73,4.7,1
592,Meitingen,DE,48.55,10.85,51.84,81,4.7,68
593,Nikel,RU,69.41,30.22,28.4,92,14.99,75
594,Prince Rupert,CA,54.32,-130.32,41.0,60,6.93,40
595,Tupelo,US,34.26,-88.7,84.2,37,16.11,20
596,Angoche,MZ,-16.23,39.91,83.36,100,8.86,88
597,Matara,LK,5.95,80.54,77.42,100,3.94,24
598,Sembe,CG,1.65,14.58,69.68,99,2.26,44
599,Port-Gentil,GA,-0.72,8.78,80.6,88,6.93,20
